,house_type,house_size,location,price,numBalconies,numBathrooms,SecurityDeposit,Status,category,numBedrooms,ratio_per_room,PricePerSqft
326,1 BHK Apartment ,750,Andheri East,39000,,2.0,No Deposit,Semi-Furnished,apartment,1,39000.0,52.0
327,1 BHK Apartment ,680,Titwala,7500,,1.0,No Deposit,Unfurnished,apartment,1,7500.0,11.029411764705882
328,1 BHK Apartment ,680,Titwala,7000,,1.0,No Deposit,Unfurnished,apartment,1,7000.0,10.294117647058824
329,2 BHK Apartment ,900,Ville Parle East,85000,,2.0,No Deposit,Unfurnished,apartment,2,42500.0,94.44444444444444
330,1 BHK Apartment ,550,Mulund East,24000,,2.0,No Deposit,Semi-Furnished,apartment,1,24000.0,43.63636363636363
331,1 BHK Apartment ,575,Dombivali,11000,,1.0,No Deposit,Semi-Furnished,apartment,1,11000.0,19.130434782608695
332,2 BHK Apartment ,800,vile parle west,95000,,2.0,No Deposit,Furnished,apartment,2,47500.0,118.75
333,1 BHK Apartment ,550,Andheri West,38000,,1.0,No Deposit,Unfurnished,apartment,1,38000.0,69.0909090909091
334,2 BHK Apartment ,1000,Kandivali East,50000,,2.0,No Deposit,Unfurnished,apartment,2,25000.0,50.0
335,1 BHK Apartment ,550,Mulund East,22000,,2.0,No Deposit,Semi-Furnished,apartment,1,22000.0,40.0
336,2 BHK Apartment ,750,Mulund East,35000,,2.0,No Deposit,Unfurnished,apartment,2,17500.0,46.666666666666664
337,1 BHK Apartment ,620,Vevoor,4500,,2.0,No Deposit,Semi-Furnished,apartment,1,4500.0,7.258064516129032
338,2 BHK Apartment ,800,Ulwe,16000,,3.0,No Deposit,Unfurnished,apartment,2,8000.0,20.0
339,2 BHK Apartment ,750,Mulund East,35000,,2.0,No Deposit,Unfurnished,apartment,2,17500.0,46.666666666666664
340,1 BHK Apartment ,550,Mulund East,22000,,2.0,No Deposit,Semi-Furnished,apartment,1,22000.0,40.0
341,2 BHK Apartment ,850,Powai,48000,,2.0,No Deposit,Semi-Furnished,apartment,2,24000.0,56.470588235294116
342,1 BHK Apartment ,275,Dadar East,18500,,1.0,No Deposit,Unfurnished,apartment,1,18500.0,67.27272727272727
343,2 BHK Apartment ,1100,Kanjurmarg East,55000,,3.0,No Deposit,Furnished,apartment,2,27500.0,50.0
344,2 BHK Apartment ,800,vile parle west,75000,,2.0,No Deposit,Unfurnished,apartment,2,37500.0,93.75
345,1 BHK Apartment ,750,Andheri East,38000,,2.0,No Deposit,Semi-Furnished,apartment,1,38000.0,50.666666666666664
346,1 BHK Apartment ,700,Worli,80000,,2.0,No Deposit,Furnished,apartment,1,80000.0,114.28571428571429
347,2 BHK Apartment ,650,Mulund East,30000,,2.0,No Deposit,Unfurnished,apartment,2,15000.0,46.15384615384615
348,1 RK Studio Apartment ,400,Bandra West,16000,,1.0,No Deposit,Unfurnished,studio,1,16000.0,40.0
349,1 BHK Apartment ,600,Mulund East,30000,,2.0,No Deposit,Unfurnished,apartment,1,30000.0,50.0
350,3 BHK Apartment ,1235,Kandivali East,73000,,2.0,No Deposit,Furnished,apartment,3,24333.333333333332,59.10931174089069
351,2 BHK Apartment ,1400,Chembur,60000,,2.0,No Deposit,Semi-Furnished,apartment,2,30000.0,42.857142857142854
352,2 BHK Apartment ,650,Thane West,32000,,2.0,No Deposit,Semi-Furnished,apartment,2,16000.0,49.23076923076923
353,2 BHK Apartment ,750,Thane West,40000,,2.0,No Deposit,Furnished,apartment,2,20000.0,53.333333333333336
354,2 BHK Apartment ,530,Thane West,27000,,2.0,No Deposit,Unfurnished,apartment,2,13500.0,50.943396226415096
355,2 BHK Apartment ,550,Thane West,34000,,2.0,No Deposit,Semi-Furnished,apartment,2,17000.0,61.81818181818182
356,2 BHK Apartment ,550,Thane West,34000,,2.0,No Deposit,Semi-Furnished,apartment,2,17000.0,61.81818181818182
357,1 BHK Apartment ,315,Thane West,20000,,2.0,No Deposit,Unfurnished,apartment,1,20000.0,63.492063492063494
358,1 BHK Apartment ,315,Thane West,20000,,2.0,No Deposit,Unfurnished,apartment,1,20000.0,63.492063492063494
